"Rc, kpc" "V_total, km/s" "V_bar, km/s" "V_disk, km/s" "V_halo, km/s" "V_buldge, km/s"
0.03 27.428320693752674 4.879528042324965 4.64200828839275 26.57739628623852 0.7724945684166612
0.06 53.6205091472025 9.753663214674503 8.57755982083599 52.00061184142468 1.544956548708093
0.09 77.70665313680549 14.617017239839884 12.20446474394625 75.30171088663555 2.317353359622358
0.12 99.06739564428145 19.46421106176047 15.617032402870098 95.8230437538423 3.089652433650722
0.15 117.41556649331653 24.28987954555389 18.86209520123014 113.25071614812578 3.8618212238908023
0.18 132.75721121890697 29.088676286072783 21.968174646047668 127.57058042764336 4.6338272108995815
0.21 145.30801821638204 33.855278563148474 24.95464792278939 138.98303816374383 5.40563790953292
0.24 155.40337948541648 38.584392483421546 27.835625970636027 147.8122961097908 6.177220875768227
0.27 163.42446490714946 43.27075835088107 30.62189326366949 154.43190925174014 6.948543713506925
0.3 169.7477492710427 47.9091563109743 33.321991241467245 159.21389449373277 7.719574081353421
0.32999999999999996 174.71609902848027 52.49441231644401 35.94287317180979 162.49946755008955 8.490279699367266
0.36 178.6258307913644 57.021404466955 38.490324296920754 164.58579087058203 9.260628355785231
0.39 181.7239533267864 61.48506977913514 40.96924429500309 165.72293062510272 10.030587913710042
0.42 184.21105717617453 65.88041144895944 43.3838444761541 166.11647806063345 10.800126317762587
0.44999999999999996 186.24680652479168 70.20250667450762 45.73778980006472 165.93278435692673 11.569211600694358
0.48 187.95621067754337 74.44651511413382 48.03430386009452 165.3049835003962 12.337811889957024
0.51 189.43569968040833 78.60768806308273 50.27624823576275 164.33882699931343 13.105895414225982
0.54 190.75855533192677 82.6813784406985 52.46618363267714 163.117882503359 13.873430509874828
0.57 191.9795486764618 86.66305169070677 54.606417783756974 161.70794917745613 14.640385627397723
0.6 193.13879071961483 90.54829770875438 56.69904353397629 160.16069872514515 15.40672933777665
0.63 194.26487397439246 94.33284392460793 58.74596951743907 158.51662177757646 16.172430338790633
0.6599999999999999 195.37740683790835 98.01256968129324 60.7489451567243 156.80738338569512 16.937457461264003
0.69 196.48904366822518 101.5835220701675 62.70958124934399 155.05769165486205 17.701779675250954
0.72 197.60710374783397 105.04193339962083 64.6293670810738 153.28677322232232 18.46536609615346
0.75 198.7348589926252 108.38424049594855 66.50968477456802 151.50953529605636 19.228185990770005
0.78 199.87255671348996 111.60710605808171 68.35182141433167 149.73747983277886 19.990208783272287
0.8099999999999999 201.01823146839567 114.70744231338254 70.1569793662828 147.97942267861143 20.751404061107426
0.84 202.16834956597867 117.68243724969324 71.92628511874055 146.24205965583667 21.511741580823085
0.87 203.31832112418644 120.5295837292048 73.66079690282889 144.53041268088822 22.271191273812935
0.8999999999999999 204.46290756823157 123.24671182232744 75.36151129783572 142.84818185081238 23.029723251980233
0.9299999999999999 205.5965468226831 125.8320247342505 77.02936898668595 141.198023772283 23.78730781331702
0.96 206.7136139637817 128.28413873264427 78.6652597952976 139.58177195981003 24.543915447396717
0.99 207.80863152786637 130.60212752098653 80.27002712496905 138.00061165609537 25.299516840777905
1.02 208.87644083326396 132.78557153683337 81.84447186746917 136.455218722865 26.0540828823172
1.05 209.91234341363253 134.83461268576752 83.38935587697871 134.9458701478174 26.807584668389122
1.08 210.91221985830086 136.75001504676726 84.90540506056243 133.47253207909634 27.55999350801094
1.1099999999999999 211.87263191207967 138.53323209905128 86.39331213877477 132.03493002784302 28.3112809278707
1.14 212.79091252567818 140.1864810183952 87.85373911979568 130.63260488992034 29.061418677256558
1.17 213.66524760603338 141.7128245648656 89.28731952378128 129.26495766624177 29.810378732885564
1.2 214.49475244326302 143.11626102396895 90.69466038858235 127.93128515813925 30.558133303630395
1.23 215.27954514644836 144.4018225566723 92.07634408340763 126.63080844194091 31.30465483514239
1.26 216.0208188698284 145.57568214476072 93.43292995320057 125.36269555617808 32.04991601436928
1.29 216.72091412531734 146.64526906716597 94.76495581331233 124.126079543042 32.79388977396638
1.3199999999999998 217.3833920317061 147.61939248739722 96.07293931138102 122.92007275547246 33.53654929659966
1.3499999999999999 218.0131089238939 148.50837224617788 97.35737917106944 121.74377815911309 34.27786801913968
1.38 218.61590596851119 149.32360967800398 98.61875633040323 120.59629821390459 35.017819636745
1.41 219.19617333950458 150.07406406681164 99.85753498582491 119.47674180520879 35.75637810683408
1.44 219.75660617771436 150.76596688822877 101.07416355169244 118.38422960278324 36.49351765294462
1.47 220.29911311684813 151.40420046074286 102.2690755437617 117.31789815274001 37.22921276847949
1.5 220.8251153994465 151.992764940548 103.44269039417028 116.2769029490061 37.96343822033819
1.53 221.33569665249942 152.5350184859159 104.59541420455787 115.26042068373258 38.69616905243332
1.56 221.8316940632617 153.03382687852195 105.72764044319807 114.267650838231 39.42738058909125
1.5899999999999999 222.313759303446 153.4916657367359 106.83975059135012 113.29781674547776 40.15704843833634
1.6199999999999999 222.78240162160773 153.91069442958874 107.93211474346904 112.35016623055239 40.88514849505835
1.65 223.2380195146541 154.29281165304275 109.00509216540335 111.42397191540668 41.611656944062375
1.68 223.68092465100847 154.63969842573223 110.05903181427479 110.51853125816291 42.33655026300124
1.71 224.11136032707904 154.95285210700544 111.09427282334521 109.63316638398815 43.05980522518978
1.74 224.529515932507 155.23361378525738 112.11114495483777 108.76722375388842 43.781398902300886
1.77 224.93553842348828 155.48319063794816 113.10996902337952 107.92007370905374 44.5013086669435
1.7999999999999998 225.3295415554374 155.7026744668667 114.09105729246792 107.09110992127478 45.21951219512196
